[09/02 01:30] --- Ciclo 01:30 iniciado ---
[09/02 01:30] ⚡ ALERTA DISPARADO: TRXF11.SA
[09/02 01:30] ⚡ ALERTA DISPARADO: EQIX
[09/02 01:30] ⚡ ALERTA DISPARADO: JEPI
[09/02 01:30] ⚡ ALERTA DISPARADO: NOBL
[09/02 01:31] ⚡ ALERTA DISPARADO: MCD
[09/02 01:31] ⚡ ALERTA DISPARADO: SCHD
[09/02 14:16] 🔎 VOO: $639.67 (RSI: 56)
[09/02 14:16] 🔎 BTC-USD: $69993.81 (RSI: 33)
[09/02 17:05] --- Ciclo 17:05 iniciado ---
[09/02 17:05] 🔎 ^BVSP: $185999.78 (RSI: 73)
[09/02 17:05] 🔎 BOVA11.SA: $182.54 (RSI: 73)
[09/02 17:05] 🔎 AFHI11.SA: $96.81 (RSI: 60)
[09/02 17:05] 🔎 CDII11.SA: $106.39 (RSI: 39)
[09/02 17:05] 🔎 GGRC11.SA: $9.99 (RSI: 55)
[09/02 17:05] 🔎 HFOF11.SA: $6.82 (RSI: 60)
[09/02 17:05] 🔎 HGLG11.SA: $157.01 (RSI: 47)
[09/02 17:05] 🔎 JURO11.SA: $103.16 (RSI: 52)
[09/02 17:05] 🔎 KFOF11.SA: $84.70 (RSI: 48)
[09/02 17:05] 🔎 KNCR11.SA: $105.35 (RSI: 43)
[09/02 17:05] 🔎 MXRF11.SA: $9.63 (RSI: 63)
[09/02 17:05] ⚡ ALERTA DISPARADO: MXRF11.SA
[09/02 17:05] 🔎 PVBI11.SA: $82.64 (RSI: 56)
[09/02 17:05] 🔎 RBHG11.SA: $68.72 (RSI: 64)
[09/02 17:05] 🔎 RBVA11.SA: $9.91 (RSI: 46)
[09/02 17:05] 🔎 RECT11.SA: $38.03 (RSI: 40)
[09/02 17:05] 🔎 TRXF11.SA: $93.20 (RSI: 19)
[09/02 17:05] ⚡ ALERTA DISPARADO: TRXF11.SA
[09/02 17:05] 🔎 VGIR11.SA: $9.81 (RSI: 51)
[09/02 17:05] 🔎 XPML11.SA: $110.45 (RSI: 56)
[09/02 17:05] 🔎 ARE: $56.31 (RSI: 57)
[09/02 17:05] 🔎 EPR: $56.13 (RSI: 64)
[09/02 17:05] 🔎 EQIX: $857.91 (RSI: 72)
[09/02 17:05] ⚡ ALERTA DISPARADO: EQIX
[09/02 17:05] 🔎 GLPI: $45.79 (RSI: 57)
[09/02 17:05] 🔎 IAUM: $50.62 (RSI: 59)
[09/02 17:05] 🔎 IBIT: $40.22 (RSI: 33)
[09/02 17:05] 🔎 JEPI: $59.10 (RSI: 63)
[09/02 17:05] ⚡ ALERTA DISPARADO: JEPI
[09/02 17:05] 🔎 NOBL: $113.39 (RSI: 71)
[09/02 17:05] 🔎 O: $62.95 (RSI: 67)
[09/02 17:05] 🔎 OHI: $44.78 (RSI: 55)
[09/02 17:06] 🔎 PSA: $289.27 (RSI: 59)
[09/02 17:06] 🔎 QQQ: $616.04 (RSI: 49)
[09/02 17:06] 🔎 MCD: $324.70 (RSI: 67)
[09/02 17:06] 🔎 REXR: $38.53 (RSI: 41)
[09/02 17:06] 🔎 RING: $87.20 (RSI: 56)
[09/02 17:06] 🔎 SCHD: $31.39 (RSI: 85)
[09/02 17:06] 🔎 SHV: $110.19 (RSI: 44)
[09/02 17:06] 🔎 STAG: $39.21 (RSI: 66)
[09/02 17:06] 🔎 VICI: $29.08 (RSI: 61)
[09/02 17:06] 🔎 VNQ: $92.68 (RSI: 64)
[09/02 17:06] ⚡ ALERTA DISPARADO: VNQ
[09/02 17:06] 🔎 VOO: $639.78 (RSI: 56)
[09/02 17:06] 🔎 BTC-USD: $70837.23 (RSI: 35)
[09/02 19:05] --- Ciclo 19:05 iniciado ---
[09/02 19:05] 🔎 ^BVSP: $186241.16 (RSI: 73)
[09/02 19:05] 🔎 BOVA11.SA: $182.79 (RSI: 73)
[09/02 19:05] 🔎 AFHI11.SA: $97.00 (RSI: 61)
[09/02 19:05] 🔎 CDII11.SA: $106.64 (RSI: 41)
[09/02 19:05] 🔎 GGRC11.SA: $10.00 (RSI: 56)
[09/02 19:05] 🔎 HFOF11.SA: $6.81 (RSI: 59)
[09/02 19:05] 🔎 HGLG11.SA: $157.04 (RSI: 47)
[09/02 19:05] 🔎 JURO11.SA: $103.04 (RSI: 51)
[09/02 19:05] 🔎 KFOF11.SA: $84.75 (RSI: 49)
[09/02 19:05] 🔎 KNCR11.SA: $105.39 (RSI: 43)
[09/02 19:05] 🔎 MXRF11.SA: $9.64 (RSI: 63)
[09/02 19:05] ⚡ ALERTA DISPARADO: MXRF11.SA
[09/02 19:05] 🔎 PVBI11.SA: $82.68 (RSI: 56)
[09/02 19:05] 🔎 RBHG11.SA: $68.89 (RSI: 65)
[09/02 19:05] 🔎 RBVA11.SA: $9.94 (RSI: 49)
[09/02 19:05] 🔎 RECT11.SA: $38.00 (RSI: 40)
[09/02 19:05] 🔎 TRXF11.SA: $93.04 (RSI: 19)
[09/02 19:05] 🔎 VGIR11.SA: $9.82 (RSI: 52)
[09/02 19:05] 🔎 XPML11.SA: $110.40 (RSI: 56)
[09/02 19:05] 🔎 ARE: $56.20 (RSI: 56)
[09/02 19:05] 🔎 EPR: $56.44 (RSI: 66)
[09/02 19:05] 🔎 EQIX: $857.74 (RSI: 72)
[09/02 19:05] 🔎 GLPI: $45.84 (RSI: 57)
[09/02 19:05] 🔎 IAUM: $50.63 (RSI: 59)
[09/02 19:05] 🔎 IBIT: $40.11 (RSI: 32)
[09/02 19:05] 🔎 JEPI: $59.06 (RSI: 62)
[09/02 19:05] 🔎 NOBL: $113.27 (RSI: 70)
[09/02 19:05] 🔎 O: $63.09 (RSI: 68)
[09/02 19:05] 🔎 OHI: $44.79 (RSI: 55)
[09/02 19:05] 🔎 PSA: $288.89 (RSI: 59)
[09/02 19:05] 🔎 QQQ: $614.32 (RSI: 48)
[09/02 19:05] 🔎 MCD: $325.60 (RSI: 69)
[09/02 19:06] 🔎 REXR: $38.48 (RSI: 41)
[09/02 19:06] 🔎 RING: $87.80 (RSI: 56)
[09/02 19:06] 🔎 SCHD: $31.35 (RSI: 84)
